Produto/Unidade,Nível de Comercialização,U.F.,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
,,AP,"2,72","2,72","2,72","2,72","2,72","2,72","2,72","1,83","1,39","1,74","1,95","2,13"
,,MA,"2,07","2,08","2,08","2,09","2,25","2,54","2,57","2,57","2,57","2,51","2,43","2,48"
,,PA,"1,38",,,"1,89","1,81","1,78","2,02","2,02","1,70","1,66","1,79","1,84"
,,RO,"1,00",,"1,00","1,50","2,40",,,"2,50","2,50","2,50","2,50",
AÇÚCAR CRISTAL (10 kg),ATACADO,CE,"14,30","14,00","14,13","14,75","15,00","15,00","15,00","15,00","15,75","19,20","21,50","21,50"
AÇÚCAR CRISTAL (2 kg),,PR,,,,,,,,,,"3,31","3,58","4,26"
,VAREJO,GO,"3,25","3,28","3,26","3,45","3,34","3,29","3,31","3,24","3,37","3,53","4,58","4,95"
,,SP,"4,29","4,50","4,50","4,73","4,46","4,40","4,45","3,97","3,94","3,90","4,10","4,12"
,,TO,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","5,26","5,92"
AÇÚCAR CRISTAL (30 kg),ATACADO,AL,,,,,,,,,,,,"64,80"
,,AM,,,,,,,,,,,"60,00","65,50"
,,BA,,,,,,,,,,,,"63,99"
,,DF,,,,,,,,,,,,"66,72"
,,ES,,,,,,,,,,,"59,92","62,34"
,,GO,,,,,,,,,,,,"66,71"
,,MG,,,,,,,,,,,"52,38","52,38"
,,PA,,,,,,,,,,,"76,19","73,45"
,,PB,,,,,,,,,,,,"62,10"
,,PI,,,,,,,,,,,,"69,60"
,,RN,,,,,,,,,,,,"58,50"
,,RO,,,,,,,,,,,"67,52","63,56"
,,RR,,,,,,,,,,"55,97","58,21","62,29"
,,RS,,,,,,,,,,"74,00","70,42","65,81"
,,SP,,,,,,,,,,,,"56,10"
,,TO,,,,,,,,,,,"75,00","74,37"
AÇÚCAR CRISTAL (50 kg),,RN,,,,,,,,,,,,"90,00"
,,SP,"51,18","51,51","50,66","51,29","51,49","49,89","48,41","48,15","49,81","56,24","72,98","79,43"
AÇÚCAR CRISTAL (5 kg),VAREJO,GO,"7,20","7,46","7,51","7,27","7,26","7,41","7,33","7,19","7,54","8,62","10,76","11,60"
,,SP,"10,24","11,00","11,00","11,41","11,32","10,90","10,99","9,78","9,75","8,69","8,60","8,66"
,,TO,"8,81","9,37","3,69","3,69","3,69","3,56","3,62","3,62","3,81","9,48","12,79","14,50"
AÇÚCAR CRISTAL (kg),ATACADO,RJ,,,,,,,,,,,"2,30","2,39"
,,SC,,,,,,,,,,,"2,13","2,27"
,VAREJO,GO,"1,73",,"1,59","1,64","1,70","1,69","1,72","1,78","1,87","1,80","2,89","2,76"
,,PA,,,,,,,,,,,,"1,71"
,,RJ,"2,28","2,20","2,38","2,51","2,47","2,38","2,54","2,45","2,60","2,52","2,81","3,44"
,,RS,,,,,,,,,,,"2,33","2,58"
,,SC,,,,,,,,,,"2,22","2,70","2,79"
,,SP,"2,39","2,40","2,30","2,39","2,32","2,20","2,24","1,98","1,95","1,91","2,15","2,20"
AÇÚCAR REFINADO (10 kg),ATACADO,CE,"20,00","21,50","22,00","22,80","22,80","22,80","22,80","22,80","22,80","23,28","23,69","24,08"
ALGODÃO EM CAROÇO (15 kg),PRODUTOR,BA,"17,80","18,00",,"15,00","18,00","20,00","19,33","19,00","22,67","21,67","22,00",
,,CE,"24,70","23,58","23,58","23,58","23,58","23,58",,,,,,
,,GO,"19,24","19,15","19,69","21,13","21,40","21,36","21,40","21,65","22,88","22,52","22,10",
,,MA,"40,00","42,15","43,10","43,10","43,10","43,10","47,00","47,00","47,00","47,00",,
,,MG,,,,,,,"22,50","29,63","27,75","27,70","26,50","26,50"
,,MS,"15,10","15,00","15,00","15,00","18,25","20,00",,,,,,
,,MT,"20,32","20,49","22,28","26,32","26,07","25,56","26,02","26,81","28,36","28,86","28,10","27,30"
,,PB,"19,40","19,50","19,50","19,50",,,,,,,,
,,PI,"17,30","17,50","17,50","17,50","17,50","18,00","19,50","19,50","19,50","19,50","19,50","19,50"
,,SP,"26,04","26,03","26,03","24,02","25,56","27,84","28,03","28,47","28,62","29,81","30,18","31,29"
,,TO,"19,50","19,50","19,00","19,00",,,"7,12",,,,,
ALGODÃO EM PLUMA (15 kg),ATACADO,CE,"65,00","65,00","65,00","65,00","65,00","65,00","63,00",,,,,
,,MS,"52,27","51,93","52,06","52,58","65,87","66,33","67,59","67,91","68,00","68,00","68,00","68,00"
,,SP,"54,16","55,18","57,84","58,00","65,90","70,25","69,41","70,08","72,14","76,41","76,38","75,99"
,PRODUTOR,BA,"53,60","55,39","59,60","68,08","69,11","68,11","70,98","73,06","74,86","76,28","77,01","77,71"
,,GO,"49,88","50,60","53,50","66,65","69,53","67,25","69,08","72,45","74,45","76,98","75,88","71,05"
,,MA,"53,00","55,85","56,40","56,40","56,40","56,40","65,23","64,00","65,25","70,76","70,50","69,30"
,,MG,"53,50","54,47","59,22","63,19","70,80",,"67,84","69,58","74,26","75,44","74,51","71,78"
,,MS,"52,15","51,95","52,04","52,38","64,75","66,25","67,59","67,91","68,00","68,00","68,00","68,00"
,,MT,"50,59","50,71","55,41","65,18","64,85","63,52","64,56","66,53","70,18","71,84","70,08","67,89"
,,PI,"46,20","47,00","47,00","47,00","47,00","52,75","61,60","64,00","64,50","65,00","65,00","69,75"
,,SP,"54,86","55,00","55,00","55,00","69,64","69,30","68,80","68,94","70,69","74,71","74,75","74,17"
,,TO,"52,00","52,00","53,00","56,75",,,"73,60","72,00","72,00","73,00","74,00","74,00"
ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg),,GO,,,,,,,,,,,"73,80","71,90"
,,MG,,,,,,,,,,,"74,65","71,78"
,,PI,,,,,,,,,,,,"72,00"
,,SP,,,,,,,,,,,,"73,96"
,,TO,,,,,,,,,,,,"74,00"
ALHO CHINÊS (10 kg),ATACADO,GO,"80,00","90,00","95,00","110,00","109,00","110,00","106,00","116,25","117,50","128,00","140,00","152,50"
ALHO COMUM (10 kg),PRODUTOR,BA,,,,,,,,,,,,"145,25"
,,DF,,,,,,,,,,,"102,50","102,50"
,,GO,,,,,,,,,,,"105,00","113,75"
,,PR,,,,,,,,,,"100,00","100,00","105,00"
,,RN,,,,,,,,,,,,"155,00"
ALHO COMUM (kg),,BA,"6,50","6,50","6,75","7,00","8,20","9,00",,,"8,00","8,00","8,00","9,00"
ALHO (kg),ATACADO,AL,,,,,,,,"6,00",,"12,40","13,00","15,88"
,,BA,"9,88","9,85","10,54","12,38","11,10","11,75","9,57","9,72","10,54","11,29","12,07","11,92"
,,CE,"8,47","9,28","12,20","12,15","12,46","12,72","12,77","12,55","12,56","13,64","14,36","15,00"
,,DF,"7,85","8,38","10,05","11,00","10,92","10,50","11,30","11,65","12,00","12,82","13,50","14,78"
,,ES,"7,63","8,70","10,38","10,07","10,44","10,50","11,13","11,07","10,97","11,96","13,24","14,00"
,,GO,"7,40","8,50","9,63","10,25","10,20","10,75","10,40","10,00","10,38","11,90","14,00","14,63"
,,MG,"7,48","8,05","9,10","9,80","9,78","10,00","10,78","10,00","9,88","10,38","12,50",
,,MS,"8,38","9,37","10,44","11,00","11,00","11,30","12,00","12,00","12,45","14,40","15,30","15,18"
,,PA,"8,29","8,79","10,00","9,58","9,53","9,27","10,56","10,96","11,04","12,88","14,31","15,60"
,,PB,"9,56","10,27","10,50","13,18","11,09","10,56","10,43","9,90","10,26","11,07","12,56","13,44"
,,PE,"7,53","8,08","8,68","9,13","9,38","9,93","10,00","10,83","11,00","11,50","12,05","14,25"
,,PI,,,,,"10,00","10,00","11,00","11,00","11,50","11,00","11,00","14,00"
,,PR,"8,00","8,00","8,00","8,00","8,00","6,78","10,77","12,80","10,00","10,00",,"11,75"
,,RJ,"7,73","8,38","9,48","10,25","10,52","11,59","10,18","10,53","10,92","11,37","13,25","13,36"
,,RN,"8,18","8,38","9,80","10,00","11,20","11,43","11,28","12,00","13,56","14,22","14,30","14,30"
,,RS,"7,00","8,50","10,63","12,00","12,00","11,68","12,00","12,00","12,25","13,80","15,00","15,75"
,,SC,"7,87","8,94","10,50","11,25","10,66","10,94","11,00","11,00","11,13","12,50","13,79","14,56"
,,SP,"11,10","11,68","12,77","14,29","15,27","15,62","15,03","14,82","15,19","15,43","16,26","16,31"
,,TO,"10,19",,"13,33","12,66","12,83","13,34","13,22","13,36","13,95","14,48","16,05","16,58"
,PRODUTOR,ES,"4,00",,,,,,,,,,,
ALHO NACIONAL (10 kg),ATACADO,GO,"71,00","85,00","95,00",,,,"102,50","110,00","110,00","117,00","138,33","135,00"
ALHO NOBRE (10 kg),PRODUTOR,PR,,,,,,,,,,"70,00","74,46","86,24"
ALHO NOBRE T 5 (10 kg),,SC,"46,00","49,25","56,75","70,75","68,80","70,00",,,,,,
ALHO ROXO NOBRE 4 (10 kg),,MG,"63,57","67,79","75,10","76,00",,,,"75,97","79,87","83,85","90,12","100,51"
ALHO ROXO NOBRE 5 (10 kg),,DF,"57,40","70,13","70,00","70,00","73,00","75,00","81,00","85,63","89,50","96,40","101,25","102,50"
,,GO,"40,00","40,00",,,,,,"87,50",,"96,67","102,50","113,75"
,,MG,"74,22","77,14","84,53","85,65",,,,"85,32","92,21","97,70","101,68","109,86"
ALHO ROXO NOBRE 5 (kg),,PI,"7,78","8,00","8,00","8,15","8,20","8,20","8,20",,,,,
,,RS,"6,03","5,75","6,38","7,00","6,90",,,,,,,
ALHO ROXO NOBRE 6 (10 kg),,MG,"84,87","86,49","93,88","95,00",,,,"94,67","103,29","108,91","112,03","119,21"
ALHO ROXO NOBRE 7 (10 kg),,MG,"95,52","95,84","103,23","104,35",,,,"102,23","118,76","128,87","121,54","127,63"
ALHO ROXO NOBRE COMERCIAL T5 (10 kg),,GO,"50,00","50,00",,,,,,"100,00",,,,
ALHO ROXO NOBRE ESPECIAL T5 (10 kg),,GO,"60,00","60,00",,,,,,"100,00",,,,
AMARELA (20 kg) (20 kg),,SC,,,,,,,,,,,"18,37","21,74"
AMÊNDOA DE ANDIROBA (kg),,AM,"1,29","0,99","0,96","1,11","0,96","0,94","0,80",,,,"1,00","1,00"
,,PA,,,,,"0,60","0,60","0,60","0,55",,,,
AMÊNDOA DE BARU (kg),,GO,,,,,,,"22,25","22,25","26,13","30,00","30,00","30,00"
,,MG,,,,,,,,,,,,"45,00"
AMÊNDOA DE CACAU (15 kg),,BA,"105,00","105,75","116,75","113,25","117,80","123,00","120,60","120,50","133,00","139,00","144,50","151,75"
,,RO,,,,,,,,,,"124,91","128,25","135,00"
AMÊNDOA DE CACAU (60 kg),,ES,,,,,,,,,,"535,00","553,75","595,00"
AMÊNDOA DE CACAU (kg),,AM,"4,31","4,73","4,86","4,65","4,46","4,65","4,83","4,96","4,94","4,63","4,60","4,59"
,,PA,"6,63","6,20","6,99","7,10","7,32","7,98","7,70","7,65","7,60",,"7,55","8,15"
AMENDOIM DESCASCADO (25 kg),ATACADO,PR,"138,75","136,00","140,00","142,50","140,00","140,00","142,00","140,00","145,00","140,00","140,00","143,75"
AMENDOIM DESCASCADO CATADO (50 kg),,SP,"261,20","262,00","260,00","260,00","203,13","184,25","184,76","185,00","187,20","195,60","196,30","201,25"
AMENDOIM EM CASCA (25 kg),PRODUTOR,MA,"75,00","75,00","75,00","75,00","73,60","54,25","37,20","32,50","33,50","37,75","36,75","35,75"
,,PB,"82,61","82,38","82,38","82,38",,,,,,,,
,,PR,"67,50","61,25","60,00","60,00","57,00","50,00","54,00","50,00","50,00","52,00","60,00","60,00"
,,SP,"33,81","34,23","32,79","30,70","31,22","31,33","30,99","32,49","32,12","33,22","37,42","34,96"
,,TO,"31,80","31,00","31,00","31,00","32,50",,,,,,,
AMENDOIM EM CASCA (30 kg),,CE,"103,30","103,50","103,50","103,50","103,50","94,04","65,52","65,33","65,33","65,33","65,33","65,33"
AMENDOIM EM CASCA (t),,MS,"1.030,00","1.050,00","1.050,00","1.050,00","1.025,00",,,,,,,
ARROZ EM CASCA (50 kg),,AL,"52,60","52,00","52,25","53,00","52,80","54,00","54,00","54,00","54,00","54,00",,"40,00"
ARROZ EM CASCA (60 kg),,AC,"48,61","48,61","48,61","50,68","56,38","56,52","56,52","50,80","54,60","54,99",,
,,AM,"55,37","55,37","55,37","55,37","49,40","57,50","56,00","53,25","54,13","51,50","51,50","53,25"
,,BA,"37,75","37,75","37,75","36,69","37,00","39,25","37,40","37,00","37,00","38,20","39,00","39,00"
,,CE,"42,79","43,70","48,00","48,00","48,00","48,00","48,00","48,00","48,00","48,00","48,00","48,00"
,,PA,"39,07","37,64",,"43,53","47,14","44,00","42,63","42,80","48,25","43,16","43,70","40,86"
,,PE,"44,50","44,50","44,50","44,50","44,50","44,50","44,50","44,50","44,50","47,50","49,50","49,50"
,,RN,"72,80","71,33","70,00","70,00","70,20","71,50","71,50","70,83","68,50","68,00","68,00","68,00"
,,RO,,,"38,87","38,89","39,07","39,98","40,00","40,08","40,07","40,00",,
,,RR,"39,10","38,40","38,40","38,40","38,20","37,50","37,50","37,01","37,01","37,00","44,40","44,40"
ARROZ EM CASCA VERMELHO (60 kg),,RN,,,,,,,,,,,,"57,40"
ARROZ LONGO BENEFICIADO (30 kg),ATACADO,PI,"63,33","63,80","64,09","64,86","67,06","66,79","64,65","63,86","61,82","65,12","66,81","67,49"
,,PR,"52,68","46,28","46,48","46,50","46,50","50,60","51,60","51,60","51,60","52,40","56,38","59,13"
ARROZ LONGO BENEFICIADO (60 kg),,MA,"72,42","72,86","68,33","65,58","70,00","80,83","91,13","87,33","74,58","72,00","74,18","75,13"
ARROZ LONGO BENEFICIADO A PRAZO (30 kg),,SP,"63,13","63,15","63,15","65,58","70,70","72,38","72,08","72,50","73,85","77,07","54,76","59,30"
ARROZ LONGO BENEFICIADO À VISTA (30 kg),,SP,"60,33","60,35","60,35","61,58","64,58","67,00","68,94","70,50","71,68","74,24","56,90","59,27"
ARROZ LONGO BENEFICIADO TIPO 1 (30 kg),,TO,,,,,,,,,,,,"65,40"
ARROZ LONGO EM CASCA (50 kg),PRODUTOR,AL,,,,,,,,,,,,"40,00"
ARROZ LONGO EM CASCA (60 kg),,MA,"44,90","47,16","42,27","41,88","44,48","46,42","47,81","49,82","50,97","48,69","47,90","48,91"
,,PI,"39,80","39,80","39,80","39,80","35,00","35,00","35,00","35,00","35,00","35,00","35,00","35,75"
,,PR,"52,53","51,67","51,52","51,77","51,97","51,92","51,89","51,37","51,45","53,67","54,62","54,58"
ARROZ LONGO FINO BENEFICIADO (30 kg),ATACADO,MS,"48,93","49,24","48,62","48,35","48,60","49,44","49,75","50,06","50,25","53,65","59,31","59,44"
,,PI,"65,62","65,62","65,81","66,83","68,50","68,38","66,75","67,67","66,12","67,98","71,51","72,08"
,,PR,"46,62","46,75","47,40","47,61","47,50","46,87","46,60","46,21","46,99","52,70","56,18","56,26"
,,RN,"72,80","72,38","72,00","72,00","72,00","72,00","72,00","71,25","69,50","69,00","69,00","75,75"
ARROZ LONGO FINO BENEFICIADO (60 kg),,BA,"90,00","91,50","92,00","92,00","94,00","85,00","85,00","85,00","90,00","101,60","110,00","110,00"
,,PE,"127,80","127,50","125,00","124,25","127,00","125,00","125,80","123,75","123,75","120,00","130,00","125,00"
ARROZ LONGO FINO BENEFICIADO A PRAZO (30 kg),,SP,"65,00","65,00","65,00","65,00","68,40","75,95","75,28","75,05","75,40","77,58","60,24","64,54"
ARROZ LONGO FINO BENEFICIADO À VISTA (30 kg),,SP,"60,07","60,10","60,10","62,05","67,60","74,88","74,70","74,05","74,85","77,40","58,98","62,10"
ARROZ LONGO FINO BENEFICIADO (kg),,RO,"2,22","2,33","2,44","2,38","2,39","2,38","2,38","2,32","2,38","2,40","2,40","2,53"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (10 kg),,BA,,,,,,,,,,,,"22,42"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),,AC,,,,,,,,,,,"58,75","58,45"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (2 kg),VAREJO,GO,"5,48","5,59","5,36","5,74","5,52","5,38","5,44","5,28","5,50","5,59","5,94","5,89"
,,SP,"3,95","6,40","6,00","5,19","5,02","4,90","4,90","4,88","4,88","4,85","4,65","4,70"
,,TO,"5,71","3,79","6,39","5,85","6,01","3,44","3,53","3,39","4,14","3,90","3,24","3,56"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AL,,,,,,,,,,,,"79,83"
,,AM,"68,60","65,73","70,00","69,08","65,86","65,00","66,37","66,58","65,00","65,00","65,00","66,00"
,,CE,"62,00","63,00","63,00","63,00","63,00","62,75","60,80","61,00","62,50","64,60","67,50","67,75"
,,ES,,,,,,,,,,,"59,92","62,42"
,,GO,"58,45","63,94","62,69","63,77","61,60","59,56","60,68","61,31","63,06","66,73","69,25","69,00"
,,MG,,,,,,,,,,,"66,67",
,,PA,,,,,,,,,,,,"73,83"
,,PB,,,,,,,,,,,,"75,00"
,,PI,,,,,,,,,,,,"75,00"
,,PR,,,,,,,,,,"62,10","69,30","67,75"
,,RJ,"60,47","62,34","60,84","63,47","60,79","61,46","59,79","59,59","60,21","62,65","66,21","67,07"
,,RN,,,,,,,,,,,,"82,50"
,,RO,,,,,,,,,,,"74,46","71,77"
,,RR,"60,20","60,00","60,00","61,00","61,40","62,00","61,80","61,75","62,00","62,00","63,00","58,69"
,,RS,,,,,,,,,,"53,96","55,68","62,35"
,,SP,"63,18","61,19","62,57","61,32","61,32","61,75","59,18","59,25","61,32","63,65","62,15","66,11"
,,TO,"62,00","52,00","52,00","53,50","52,00",,"54,00","54,75","54,25","50,00","50,00","50,00"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg),,DF,,,,,,,,,,,,"12,97"
,VAREJO,GO,"11,85","11,88","12,06","11,81","11,60","12,10","11,78","12,04","12,08","12,36","12,69","12,71"
,,RJ,"14,04","14,19","14,93","14,21","14,15","13,61","12,64","13,07","13,74","14,00","14,78","15,48"
,,SP,"10,43","12,50","15,00","13,20","12,50","12,45","12,40","12,10","11,96","12,08","12,15","12,20"
,,TO,"14,27","13,52","16,04","15,98","13,49","12,96","13,20","13,97","14,37","14,60","14,09","14,71"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (60 kg),ATACADO,TO,"125,00","110,00","110,00","115,00","107,67",,"108,00","109,50","105,00","100,00","100,00","100,00"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),,AC,"2,60","2,60","2,60","2,60","2,60","2,60","2,56","2,41","2,24","2,33","2,37","2,43"
,,RJ,,,,,,,,,,,"2,22","2,24"
,,RO,"1,76","1,87","1,92","1,90","1,84","1,85","1,88","1,86","1,93","2,16","2,32","2,28"
,VAREJO,AC,,,,,,,,,,,"2,61","2,84"
,,CE,,,,,,,,,,,,"2,53"
,,GO,"2,77","2,99","2,72","3,08","2,95","2,71","3,06","2,82","2,89","2,74","2,89","3,37"
,,RJ,"2,80","2,83","2,96","2,97","3,00","2,72","2,55","2,73","2,72","2,83","2,81","3,08"
,,RR,,,,,,,,,,,"2,14","2,07"
,,SE,,,,,,,,,,,,"2,66"
,,SP,"2,30","3,20","3,00","2,73","2,53","2,60","2,55","2,54","2,55","2,64","2,68","2,65"
,,TO,"2,94",,"2,84","3,34","3,16","5,89","5,06","6,99","6,80","7,41","6,49","7,20"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (10 kg),ATACADO,BA,,,,,,,,,,,,"22,12"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (30 kg),,AL,,,,,,,,,,,,"64,50"
,,AM,"58,74","58,95","61,95","62,95","63,00","62,63","60,56","60,00","60,00","60,00",,
,,CE,"54,00","55,00","55,25","56,50","57,00","57,00","57,00","57,25","58,00","59,60","62,50","65,00"
,,GO,,,,,,,,,,,,"61,00"
,,PA,,,,,,,,,,,,"66,95"
,,PB,,,,,,,,,,,,"68,00"
,,PI,,,,,,,,,,,,"66,36"
,,RJ,"60,94","61,73","61,43","61,80","60,23","59,42","56,25","55,50","56,12","60,95","64,46","63,87"
,,RN,,,,,,,,,,,,"74,50"
,,SP,"60,90","59,75","60,85","59,97","59,96","59,46","59,46",,,,,
ARROZ LONGO FINO BENEFICIADO TIPO 2 (60 kg),,TO,"120,00","110,00","110,00","115,00","107,67",,"92,40","94,00","92,00","90,00","90,00","90,00"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),,AC,"2,40","2,40","2,40","2,30","2,20","2,20","2,20","1,91","1,80","1,93","2,20","2,20"
,,RO,"1,67","1,80","1,81","1,82","1,80","1,79","1,81","1,80","1,85","2,10","2,22","2,22"
,VAREJO,AC,,,,,,,,,,,"2,25","2,39"
,,BA,,,,,,,,,,,,"2,31"
,,PA,,,,,,,,,,,"2,49","2,32"
,,PI,,,,,,,,,,,,"2,38"
,,RN,,,,,,,,,,,,"2,75"
,,SE,,,,,,,,,,,,"2,55"
ARROZ LONGO FINO BENEFICIADO TIPO 3 (30 kg),ATACADO,CE,"50,00","50,00","50,00","50,00","50,00","50,00","50,00","50,00","52,00","52,00","52,00","52,00"
,,GO,"52,50","47,94","49,56","49,39","49,40","47,94","45,70","45,50","46,75","48,33","49,10","47,87"
ARROZ LONGO FINO EM CASCA (50 kg),PRODUTOR,AL,,,,,,,,,,,,"40,00"
,,RJ,"35,53","37,19","37,19","37,48","37,07","35,63","35,80","36,59","37,19","38,13","40,60","41,34"
,,SC,"35,28","34,92","34,48","34,53","34,35","33,83","33,63","33,57","34,08","35,89","36,64","37,23"
ARROZ LONGO FINO EM CASCA (60 kg),ATACADO,MS,"46,20","44,96","46,08","45,92","45,60","44,67","45,73","46,50","46,42","50,07","53,58","53,92"
,PRODUTOR,MG,"55,20","58,98","59,82","58,66","55,20","47,30","47,76","53,83","46,99","47,40","51,23","49,20"
,,MS,"45,52","45,03","45,90","44,79","45,34","44,94","44,76","45,68","46,66","49,20","51,43","52,18"
,,MT,"44,27","46,05","43,66","42,69","37,72","36,71","38,91","41,97","46,55","49,47","50,05","52,81"
,,PA,,,,,,,,,,,,"41,83"
,,PB,"45,00","45,00","45,00","45,00",,,,,,,,
,,PI,"41,61","41,61","41,61","41,61",,,,,,,,
,,PR,"50,31","52,14","51,94","51,51","51,84","51,53","51,43","51,43","51,79","54,97","58,36","59,09"
,,SE,"38,74","37,50","39,99","39,37","39,00",,,,,,,
,,SP,"47,93","47,66","47,82","47,58","47,05","44,91","43,43","43,08","43,79","45,97","46,30","46,06"
,,TO,,,,,,,,,,,,"55,00"
ARROZ LONGO FINO EM CASCA TIPO 1 (50 kg),,RS,"36,99","36,95","35,35","34,87","34,14","32,67","32,57","33,34","35,84","38,89","39,93","40,01"
